2017-02-07 09:20:01.760821 -- Unable to retweet id: 299542215292755968
2017-02-07 09:21:01.976600 -- Unable to retweet id: 299530494457020417
2017-02-07 09:21:02.106083 -- Unable to retweet id: 299530651776999424
2017-02-07 09:21:02.240808 -- Unable to retweet id: 299542215292755968
2017-02-07 09:22:01.468783 -- Unable to retweet id: 299530494457020417
2017-02-07 09:22:01.628667 -- Unable to retweet id: 299530651776999424
2017-02-07 09:22:01.765033 -- Unable to retweet id: 299542215292755968
2017-02-07 09:23:02.008125 -- Unable to retweet id: 299530494457020417
2017-02-07 09:23:02.142444 -- Unable to retweet id: 299530651776999424
2017-02-07 09:23:02.315086 -- Unable to retweet id: 299542215292755968
2017-02-07 09:24:01.559862 -- Unable to retweet id: 299530494457020417
2017-02-07 09:24:01.693402 -- Unable to retweet id: 299530651776999424
2017-02-07 09:24:01.822775 -- Unable to retweet id: 299542215292755968
2017-02-07 09:25:02.043953 -- Unable to retweet id: 299530494457020417
2017-02-07 09:25:02.187509 -- Unable to retweet id: 299530651776999424
2017-02-07 09:25:02.323872 -- Unable to retweet id: 299542215292755968
2017-02-07 09:26:01.536849 -- Unable to retweet id: 299530494457020417
2017-02-07 09:26:01.686115 -- Unable to retweet id: 299530651776999424
2017-02-07 09:26:01.849752 -- Unable to retweet id: 299542215292755968
2017-02-07 09:27:02.097992 -- Unable to retweet id: 299530494457020417
2017-02-07 09:27:02.230495 -- Unable to retweet id: 299530651776999424
2017-02-07 09:27:02.360596 -- Unable to retweet id: 299542215292755968
2017-02-07 09:28:01.610949 -- Unable to retweet id: 299530494457020417
2017-02-07 09:28:01.752003 -- Unable to retweet id: 299530651776999424
2017-02-07 09:28:01.889434 -- Unable to retweet id: 299542215292755968
2017-02-07 09:29:02.167814 -- Unable to retweet id: 299530494457020417
2017-02-07 09:29:02.303645 -- Unable to retweet id: 299530651776999424
2017-02-07 09:29:02.434827 -- Unable to retweet id: 299542215292755968
2017-02-07 09:30:01.649980 -- Unable to retweet id: 299530494457020417
2017-02-07 09:30:01.776246 -- Unable to retweet id: 299530651776999424
2017-02-07 09:30:01.909558 -- Unable to retweet id: 299542215292755968
2017-02-07 09:31:02.186796 -- Unable to retweet id: 299530494457020417
2017-02-07 09:31:02.323861 -- Unable to retweet id: 299530651776999424
2017-02-07 09:31:02.457062 -- Unable to retweet id: 299542215292755968
2017-02-07 09:32:01.711114 -- Unable to retweet id: 299530494457020417
2017-02-07 09:32:01.838672 -- Unable to retweet id: 299530651776999424
2017-02-07 09:32:01.976215 -- Unable to retweet id: 299542215292755968
2017-02-07 09:33:02.194492 -- Unable to retweet id: 299530494457020417
2017-02-07 09:33:02.328121 -- Unable to retweet id: 299530651776999424
2017-02-07 09:33:02.468094 -- Unable to retweet id: 299542215292755968
2017-02-07 09:34:01.684427 -- Unable to retweet id: 299530494457020417
2017-02-07 09:34:01.853217 -- Unable to retweet id: 299530651776999424
2017-02-07 09:34:01.983022 -- Unable to retweet id: 299542215292755968
2017-02-07 09:35:02.224127 -- Unable to retweet id: 299530494457020417
2017-02-07 09:35:02.351121 -- Unable to retweet id: 299530651776999424
2017-02-07 09:35:02.485022 -- Unable to retweet id: 299542215292755968
2017-02-07 09:36:01.693276 -- Unable to retweet id: 299530494457020417
2017-02-07 09:36:01.872843 -- Unable to retweet id: 299530651776999424
2017-02-07 09:36:02.091460 -- Unable to retweet id: 299542215292755968
2017-02-07 09:37:01.334716 -- Unable to retweet id: 299530494457020417
2017-02-07 09:37:01.484999 -- Unable to retweet id: 299530651776999424
2017-02-07 09:37:01.616422 -- Unable to retweet id: 299542215292755968
2017-02-07 09:38:01.832500 -- Unable to retweet id: 299530494457020417
2017-02-07 09:38:01.956515 -- Unable to retweet id: 299530651776999424
2017-02-07 09:38:02.329335 -- Unable to retweet id: 299542215292755968
2017-02-07 09:39:01.565943 -- Unable to retweet id: 299530494457020417
2017-02-07 09:39:01.762460 -- Unable to retweet id: 299530651776999424
2017-02-07 09:39:01.889439 -- Unable to retweet id: 299542215292755968
2017-02-07 09:40:02.103335 -- Unable to retweet id: 299530494457020417
2017-02-07 09:40:02.242947 -- Unable to retweet id: 299530651776999424
2017-02-07 09:40:02.393356 -- Unable to retweet id: 299542215292755968
2017-02-07 09:41:01.620265 -- Unable to retweet id: 299530494457020417
